source,step,status,time,details
moto-occasion,scrap pages,started,2021-05-31 22:32:59.471519,
moto-occasion,scrap pages,completed,2021-05-31 22:34:37.300255,"1.6166666666666667 minutes elapsed, 148 pages scrapped"
moto-occasion,scrap annonces,started,2021-05-31 22:36:14.636114,
moto-occasion,scrap annonces,completed,2021-05-31 22:37:30.088782,"1.25 minutes elapsed, 9 annonces scrapped"
moto-occasion,to dataframe,started,2021-05-31 22:43:55.826930,
annonces/moto-occasion-WT140666-2021-05-31_22h36.html,to dataframe,error,2021-05-31 22:44:16.016510,name 'td' is not defined
moto-occasion,scrap pages,started,2021-06-01 14:09:47.394105,
moto-occasion,scrap pages,completed,2021-06-01 14:11:00.002043,"1.2 minutes elapsed, 148 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-01 14:11:24.884528,
moto-occasion,scrap annonces,completed,2021-06-01 14:15:42.449822,"4.283333333333333 minutes elapsed, 40 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-01 14:17:45.033270,
annonces/moto-occasion-WT140672-2021-06-01_14h11.html,to dataframe,error,2021-06-01 14:19:22.913656,name 'td' is not defined
moto-occasion,scrap pages,started,2021-06-01 14:47:58.668113,
moto-occasion,scrap pages,started,2021-06-01 19:06:44.396512,
moto-occasion,scrap pages,started,2021-06-02 12:04:50.125894,
moto-occasion,scrap pages,completed,2021-06-02 12:22:55.196843,"18.083333333333332 minutes elapsed, 145 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-02 12:22:55.238639,
moto-occasion,scrap annonces,completed,2021-06-02 12:30:28.882183,"7.55 minutes elapsed, 67 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-02 12:30:28.886158,
moto-occasion,to dataframe,error,2021-06-02 12:30:28.923246,name 'site_code' is not defined
moto-occasion,scrap pages,started,2021-06-03 18:39:32.059266,
moto-occasion,scrap pages,completed,2021-06-03 18:58:28.809528,"18.933333333333334 minutes elapsed, 148 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-03 18:58:28.853878,
moto-occasion,scrap annonces,completed,2021-06-03 19:18:39.817329,"20.183333333333334 minutes elapsed, 187 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-03 19:18:39.822874,
moto-occasion,to dataframe,error,2021-06-03 19:18:39.863874,name 'site_code' is not defined
moto-occasion,scrap pages,started,2021-06-04 17:00:45.774652,
moto-occasion,scrap pages,started,2021-06-04 17:17:14.801515,
moto-occasion,scrap pages,completed,2021-06-04 17:36:35.326461,"19.333333333333332 minutes elapsed, 146 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-04 17:36:35.364222,
moto-occasion,scrap pages,started,2021-06-04 18:51:06.074824,
moto-occasion,scrap pages,started,2021-06-04 19:00:28.388595,
moto-occasion,scrap pages,completed,2021-06-04 19:19:27.238673,"18.966666666666665 minutes elapsed, 146 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-04 19:19:27.274540,
moto-occasion,scrap annonces,completed,2021-06-04 19:45:38.623230,"26.183333333333334 minutes elapsed, 257 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-04 19:45:38.627941,
moto-occasion,to dataframe,error,2021-06-04 19:45:38.669023,name 'site_code' is not defined
moto-occasion,scrap pages,started,2021-06-04 19:50:54.058067,
moto-occasion,scrap pages,completed,2021-06-04 20:09:16.852552,"18.366666666666667 minutes elapsed, 146 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-04 20:09:16.883150,
moto-occasion,scrap annonces,completed,2021-06-04 20:35:48.876536,"26.533333333333335 minutes elapsed, 257 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-04 20:35:48.881690,
moto-occasion,to dataframe,error,2021-06-04 20:35:48.925730,name 'site_code' is not defined
moto-occasion,scrap pages,started,2021-06-05 09:42:12.390191,
moto-occasion,scrap pages,completed,2021-06-05 10:02:01.765339,"19.816666666666666 minutes elapsed, 151 pages scrapped"
