url,title,price,bike_year,mileage,localisation,brand,model,engine_size
https://www.leboncoin.fr/motos/2000353007.htm?ac=4051296304, 125 pcx,1400.0,2012,19900,Saint-Jory 31790,honda,pcx,125.0
https://www.leboncoin.fr/motos/2000225815.htm?ac=4051296304, pcx,1900.0,2012,4800,Berzé-la-Ville 71960 Hameau de Marie,honda,pcx,125.0
https://www.leboncoin.fr/motos/1999878721.htm?ac=4051296304, pcx,1480.0,2012,14000,Marseille 13008 8e Arrondissement,honda,pcx,125.0
https://www.leboncoin.fr/motos/1999732668.htm?ac=4051296304, pcx ,2300.0,2012,23000,Lyon 69004 4e Arrondissement,honda,pcx,125.0
https://www.leboncoin.fr/motos/2000347388.htm?ac=4051296304, 125 shadow ,3200.0,2000,12500,Bapaume 62450,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/2000257301.htm?ac=4051296304, shadow 125,2700.0,2000,17000,Drusenheim 67410,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/1999867049.htm?ac=4051296304,125 shadow,1500.0,2000,35000,Uzès 30700,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/1998917467.htm?ac=4051296304, shadow 125,2750.0,2000,28000,Perpignan 66000,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/1998831747.htm?ac=4051296304,125 shadow,3000.0,2000,18000,Saint-Marcellin-en-Forez 42680,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/1998418942.htm?ac=4051296304, shadow 125,2400.0,2000,9366,Saint-Chamond 42400,honda,vt125shadow,124.5
https://www.leboncoin.fr/motos/1973584674.htm?ac=4051296304, forza 300 1400 ,4395.0,2020,1400,Foulayronnes 47510 Le Rouge,honda,forza300,279.0
https://www.leboncoin.fr/motos/2000257685.htm?ac=4051296304, forza 300 1000 garantie 5 ans,5200.0,2020,1200,Eckbolsheim 67201,honda,forza300,279.0
https://www.leboncoin.fr/motos/2000230574.htm?ac=4051296304, forza 300 pot akra état ,5200.0,2020,1531,Baden 56870,honda,forza300,279.0
https://www.leboncoin.fr/motos/1999710771.htm?ac=4051296304, forza,4500.0,2020,2350,Saint-Venant 62350,honda,forza300,279.0
https://www.leboncoin.fr/motos/1999366699.htm?ac=4051296304, forza 300,4300.0,2020,7800,Argenteuil 95100,honda,forza300,279.0
https://www.leboncoin.fr/motos/1998677727.htm?ac=4051296304, forza 300 smart top box,5100.0,2020,1650,Dieppe 76200,honda,forza300,279.0
https://www.leboncoin.fr/motos/2000919798.htm?ac=4051296304, forza,4500.0,2020,2000,Douai 59500,honda,forza300,279.0
https://www.leboncoin.fr/motos/2000827437.htm?ac=4051296304, forza 300 9000 1ère ,4400.0,2020,8900,Noisy-le-Sec 93130,honda,forza300,279.0
https://www.leboncoin.fr/motos/2000346366.htm?ac=4051296304, cb 500,2500.0,2000,39400,Touvois 44650,honda,cb500,499.0
https://www.leboncoin.fr/motos/1998955396.htm?ac=4051296304, cb 500,2800.0,2000,36347,L'Isle-Jourdain 32600,honda,cb500,499.0
https://www.leboncoin.fr/motos/1998783268.htm?ac=4051296304, cb500,750.0,2000,90500,Brétigny-sur-Orge 91220,honda,cb500,499.0
https://www.leboncoin.fr/motos/2000345505.htm?ac=4051296304, cmx rebel 500 s mat s ,6790.0,2021,2000,Montmartin-sur-Mer 50590,honda,rebel500,471.0
https://www.leboncoin.fr/motos/1967021425.htm?ac=4051296304, 1000 cbx,14800.0,1980,3225,Antony 92160,honda,cbx,1046.0
