uniq_id,reference,brand,model,price,bike_year,bike_type,engine_size,mileage,source,scraped_date,url,age,code_annonce
motomag-8419053,8419053,kawasaki,z,16290,2020,Roadster,998,1400,motomag,2021-07-13 22:49:08.609618,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419053,1,Roadster-69570KAWASAKI-Z16290€2020-1400km29/05/2021
motomag-8418819,8418819,honda,sh 300,4500,2020,Scooter,300,3052,motomag,2021-07-13 22:49:08.881646,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418819,1,Scooter-91310HONDA-SH3004500€2020-3052km28/05/2021
motomag-8420110,8420110,yamaha,fzx fazer,1790,1987,Routière,750,65779,motomag,2021-07-13 22:49:09.191254,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8420110,34,Routière-13127YAMAHA-FZXFAZER1790€1987-65779km28/05/2021
motomag-8420111,8420111,kawasaki,zx-6r 636,1590,1998,Sportive,600,70805,motomag,2021-07-13 22:49:09.593181,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8420111,23,Sportive-13127KAWASAKI-ZX-6R6361590€1998-70805km28/05/2021
motomag-8419344,8419344,yamaha,mt-07 (47.5cv),7299,2021,Roadster,695,150,motomag,2021-07-13 22:49:09.872733,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419344,0,Roadster-33500YAMAHA-MT-07(47.5CV)7299€2021-150km28/05/2021
motomag-8420112,8420112,moto-guzzi,250 ts,3990,1975,Routière,250,27465,motomag,2021-07-13 22:49:10.153651,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8420112,46,Routière-13127MOTO-GUZZI-250TS3990€1975-27465km28/05/2021
motomag-8419345,8419345,yamaha,tmax 560 a,12999,2020,Scooter,560,850,motomag,2021-07-13 22:49:10.435060,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419345,1,Scooter-33500YAMAHA-TMAX560A12999€2020-850km28/05/2021
motomag-8420113,8420113,mbk,skycruiser 125,1690,2009,Scooter,125,5120,motomag,2021-07-13 22:49:10.788784,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8420113,12,Scooter-13127MBK-SKYCRUISER1251690€2009-5120km28/05/2021
motomag-8418067,8418067,honda,nss forza 750,10590,2021,Scooter,750,2276,motomag,2021-07-13 22:49:11.060475,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418067,0,Scooter-75014HONDA-NSSFORZA75010590€2021-2276km28/05/2021
motomag-8417816,8417816,aprilia,tuono 125,3690,2018,Roadster,125,600,motomag,2021-07-13 22:49:11.345232,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8417816,3,Roadster-50400APRILIA-TUONO1253690€2018-600km28/05/2021
motomag-8417817,8417817,piaggio,liberty 125,1790,2018,Scooter,125,10900,motomag,2021-07-13 22:49:11.664253,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8417817,3,Scooter-50400PIAGGIO-LIBERTY1251790€2018-10900km28/05/2021
motomag-8419622,8419622,honda,varadero 1000,4999,2001,Trail,1000,20785,motomag,2021-07-13 22:49:11.931442,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419622,20,Trail-30000HONDA-VARADERO10004999€2001-20785km28/05/2021
motomag-8418860,8418860,honda,nss forza 750,10499,2021,Scooter,750,390,motomag,2021-07-13 22:49:12.258408,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418860,0,Scooter-80136HONDA-NSSFORZA75010499€2021-390km28/05/2021
motomag-8418861,8418861,honda,cbr 1000 rr fireblade,23999,2021,Sportive,1000,309,motomag,2021-07-13 22:49:12.619412,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418861,0,Sportive-80136HONDA-CBR1000RR23999€2021-309km28/05/2021
motomag-8417326,8417326,kymco,ak 550,7499,2020,Scooter,550,900,motomag,2021-07-13 22:49:12.817836,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8417326,1,Scooter-73000KYMCO-AK5507499€2020-900km28/05/2021
motomag-8418862,8418862,honda,cbr 650 r,8499,2021,Sportive,650,302,motomag,2021-07-13 22:49:13.073375,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418862,0,Sportive-80136HONDA-CBR650R8499€2021-302km28/05/2021
motomag-8417841,8417841,bmw,f 800 s,4290,2007,Routière,800,41000,motomag,2021-07-13 22:49:13.349819,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8417841,14,Routière-44400BMW-F800S4290€2007-41000km28/05/2021
motomag-8419130,8419130,suzuki,dl 1000 v-strom,8790,2017,Trail,1000,11160,motomag,2021-07-13 22:49:13.603499,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419130,4,Trail-77400SUZUKI-DL1000V-STROM8790€2017-11160km28/05/2021
motomag-8419656,8419656,piaggio,mp3 500 hpe sport abs/asr,9690,2021,Scooter,500,450,motomag,2021-07-13 22:49:13.916935,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419656,0,Scooter-95370PIAGGIO-MP3500HPE9690€2021-450km28/05/2021
motomag-8419152,8419152,honda,cb 650 f,5990,2018,Roadster,650,25490,motomag,2021-07-13 22:49:14.181410,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419152,3,Roadster-40280HONDA-CB650F5990€2018-25490km28/05/2021
motomag-8419153,8419153,bmw,f 800 r,7990,2018,Roadster,800,3360,motomag,2021-07-13 22:49:14.454792,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419153,3,Roadster-47200BMW-F800R7990€2018-3360km28/05/2021
motomag-8420210,8420210,yamaha,x-max 300 abs,5490,2019,Scooter,300,5017,motomag,2021-07-13 22:49:14.747456,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8420210,2,Scooter-59187YAMAHA-X-MAX300ABS5490€2019-5017km28/05/2021
motomag-8419704,8419704,harley davidson,xlh,8490,2008,Custom,1200,36103,motomag,2021-07-13 22:49:15.029711,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419704,13,Custom-72230HARLEYDAVIDSON-XLH8490€2008-36103km28/05/2021
motomag-8419705,8419705,yamaha,fjr 1300,5900,2003,Routière,1300,91144,motomag,2021-07-13 22:49:15.378636,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419705,18,Routière-72230YAMAHA-FJR13005900€2003-91144km28/05/2021
motomag-8419455,8419455,honda,cb 650 f,5990,2018,Roadster,650,25490,motomag,2021-07-13 22:49:15.701455,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419455,3,Roadster-40280HONDA-CB650F5990€2018-25490km28/05/2021
motomag-8419456,8419456,bmw,f 800 r,7990,2018,Roadster,800,3360,motomag,2021-07-13 22:49:15.956421,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419456,3,Roadster-47200BMW-F800R7990€2018-3360km28/05/2021
motomag-8417931,8417931,piaggio,mp3 500 lt,5490,2015,Scooter,500,25279,motomag,2021-07-13 22:49:16.242467,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8417931,6,Scooter-67201PIAGGIO-MP3500LT5490€2015-25279km28/05/2021
motomag-8419483,8419483,honda,cb 650 f,5990,2018,Roadster,650,25490,motomag,2021-07-13 22:49:16.476576,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419483,3,Roadster-40280HONDA-CB650F5990€2018-25490km28/05/2021
motomag-8419484,8419484,bmw,f 800 r,7990,2018,Roadster,800,3360,motomag,2021-07-13 22:49:16.758331,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8419484,3,Roadster-47200BMW-F800R7990€2018-3360km28/05/2021
motomag-8418471,8418471,triumph,rocket iii,21000,2019,Custom,2500,9366,motomag,2021-07-13 22:50:55.754385,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8418471,2,Custom-75012TRIUMPH-RocketIII21000€2019-9366km28/05/2021
