bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
Bleu,Routière,2012,BMW,Essence 4t,1200,,,14000,R 1200,12000,1656661,2021-06-22 11:24:20.733216,motovente,motovente-1656661,http://motovente.com/moto-occasion/annonce-moto-bmw-1656661.html,ABS,,11-10-2012
Gris,Roadster,2003,Honda,,600,,,41200,CB HORNET,3490,1872847,2021-06-22 11:24:20.761468,motovente,motovente-1872847,http://motovente.com/moto-occasion/annonce-moto-honda-1872847.html,CB 600 F HORNET,non,25-06-2003
Rouge,Roadster,2018,Ducati,,1200,Oui,,6027,MONSTER 1200 S,13990,1869268,2021-06-22 11:24:20.784830,motovente,motovente-1869268,http://motovente.com/moto-occasion/annonce-moto-ducati-1869268.html,MONSTER 1200 S,non,11-04-2018
Blanc,Roadster,2017,Ducati,,803,Oui,,2801,MONSTER 797,7990,1873924,2021-06-22 11:24:20.809699,motovente,motovente-1873924,http://motovente.com/moto-occasion/annonce-moto-ducati-1873924.html,MONSTER 797,non,16-06-2017
Argent,Quad Loisirs,2021,Yamaha,,1000,Oui,,1800,YXZ 1000R,33900,1861867,2021-06-22 11:24:20.834758,motovente,motovente-1861867,http://motovente.com/quad-occasion/annonce-quad-yamaha-1861867.html,YXZ 1000R,non,05-01-2021
Noir,Scooter,2017,Honda,,125,,,2459,FORZA 125,4390,1865962,2021-06-22 11:24:20.860213,motovente,motovente-1865962,http://motovente.com/scooter-occasion/annonce-scooter-honda-1865962.html,FORZA 125,non,20-07-2017
Orange,Routière,2019,KTM,,1290,,,27855,1290 SUPER ADVENTURE S,14500,1873781,2021-06-22 11:24:20.884827,motovente,motovente-1873781,http://motovente.com/moto-occasion/annonce-moto-ktm-1873781.html,1290 SUPER ADVENTURE S,non,09-03-2019
Gris,Routière,2021,Triumph,,2500,Oui,,1800,ROCKET III GT,22990,1873035,2021-06-22 11:24:20.909788,motovente,motovente-1873035,http://motovente.com/moto-occasion/annonce-moto-triumph-1873035.html,ROCKET III GT,non,22-01-2021
Argent,Scooter,2013,Kymco,,50,,,4529,AGILITY 50,400,1848043,2021-06-22 11:24:20.934191,motovente,motovente-1848043,http://motovente.com/scooter-occasion/annonce-scooter-kymco-1848043.html,AGILITY 50,non,31-08-2013
Noir,Roadster,2010,Honda,,1300,,,155000,CB 1300 S,3490,1874096,2021-06-22 11:24:20.963865,motovente,motovente-1874096,http://motovente.com/moto-occasion/annonce-moto-honda-1874096.html,CB 1300 S,non,21-05-2010
Gris,Roadster,2020,Yamaha,,1000,Oui,,1794,MT-10,11890,1874295,2021-06-22 11:25:51.852416,motovente,motovente-1874295,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874295.html,MT-10,non,12-06-2020
Blanc,Scooter,2011,Honda,,125,,,3500,PCX,2390,1874521,2021-06-22 11:25:51.876973,motovente,motovente-1874521,http://motovente.com/scooter-occasion/annonce-scooter-honda-1874521.html,PCX 125,non,13-09-2011
Noir,Scooter,2014,SYM,,125,Oui,,10350,JOYRIDE,1999,1872705,2021-06-22 11:25:51.902614,motovente,motovente-1872705,http://motovente.com/scooter-occasion/annonce-scooter-sym-1872705.html,,non,25-04-2014
Bleu,Cross,2020,Yamaha,,450,,,83,450 YZF EX TOM PAGES,6390,1874171,2021-06-22 11:25:51.925983,motovente,motovente-1874171,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874171.html,450 YZF EX TOM PAGES,non,01-01-2020
,Sportive,2011,Triumph,,900,,,25888,THRUXTON 900,5700,1834252,2021-06-22 11:25:51.952977,motovente,motovente-1834252,http://motovente.com/moto-occasion/annonce-moto-triumph-1834252.html,THRUXTON 900,non,28-11-2011
Bleu,Routière,2019,Yamaha,,850,,,19000,TRACER 900 GT,11690,1874372,2021-06-22 11:25:51.977002,motovente,motovente-1874372,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874372.html,TRACER 900 GT,non,27-11-2019
Noir,Custom,2008,Harley-Davidson,Essence 4t,1700,Oui,,44500,SOFTAIL,14000,1488137,2021-06-22 11:25:52.001654,motovente,motovente-1488137,http://motovente.com/moto-occasion/annonce-moto-harley_davidson-1488137.html,FAT BOY,,10-07-2008
Blanc,Routière,2014,Yamaha,,1300,,,79500,FJR 1300A,6490,1856118,2021-06-22 11:25:52.025318,motovente,motovente-1856118,http://motovente.com/moto-occasion/annonce-moto-yamaha-1856118.html,FJR 1300A,non,27-02-2014
Orange,Sportive,2005,Honda,,125,,,14300,CBR,1999,1868282,2021-06-22 11:25:52.049160,motovente,motovente-1868282,http://motovente.com/moto-occasion/annonce-moto-honda-1868282.html,CBR 125,non,07-04-2005
Argent,Scooter,2009,Aprilia,,125,,,11156,SPORTCITY 125,250,1856980,2021-06-22 11:25:52.072843,motovente,motovente-1856980,http://motovente.com/scooter-occasion/annonce-scooter-aprilia-1856980.html,SPORTCITY 125,non,21-09-2009
Noir,Custom,1987,Yamaha,Essence 4t,500,,,64000,XV,1200,1430604,2021-06-22 11:25:52.102088,motovente,motovente-1430604,http://motovente.com/moto-occasion/annonce-moto-yamaha-1430604.html,,,30-11-1987
Bordeaux,Roadster,2020,Honda,,650,Oui,,11446,CB650R Neo Sports Café,6790,1871179,2021-06-22 11:25:52.130328,motovente,motovente-1871179,http://motovente.com/moto-occasion/annonce-moto-honda-1871179.html,CB650R Neo Sports Café,non,11-03-2020
Rouge,Scooter,2020,SYM,,125,Oui,,7800,JET 14 125I AIR COOL,1890,1873258,2021-06-22 11:25:52.155988,motovente,motovente-1873258,http://motovente.com/scooter-occasion/annonce-scooter-sym-1873258.html,JET 14 125I AIR COOL,non,26-08-2020
Orange,Trail,1975,Suzuki,,50,,,12039,TS 50,1490,1868877,2021-06-22 11:25:52.182271,motovente,motovente-1868877,http://motovente.com/moto-occasion/annonce-moto-suzuki-1868877.html,TS 50,non,01-01-1975
Noir,Collection,1984,Kawasaki,Essence 4t,733,Oui,Non,28638,Z750,9500,1872568,2021-06-22 11:25:52.207218,motovente,motovente-1872568,http://motovente.com/moto-collection/annonce-moto-kawasaki-1872568.html,GPZ Turbo,,05-06-1984
Blanc,Scooter,2012,MBK,,125,,,10000,OCEO 125,1390,1857216,2021-06-22 11:25:52.233666,motovente,motovente-1857216,http://motovente.com/scooter-occasion/annonce-scooter-mbk-1857216.html,OCEO 125,non,06-04-2012
Argent,Roadster,2020,BMW,,900,,,1000,BMW F 900,2800,1854945,2021-06-22 11:25:52.258481,motovente,motovente-1854945,http://motovente.com/moto-occasion/annonce-moto-bmw-1854945.html,BMW F 900,non,29-05-2020
,Trail,2020,Yamaha,,700,Oui,,179,TENERE 700 Rally Edition,11490,1873608,2021-06-22 11:25:52.284394,motovente,motovente-1873608,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873608.html,TENERE 700 Rally Edition,non,03-11-2020
Blanc,Trail,2020,KTM,,390,Oui,,500,390 ADVENTURE,5999,1873737,2021-06-22 11:25:52.312359,motovente,motovente-1873737,http://motovente.com/moto-occasion/annonce-moto-ktm-1873737.html,390 ADVENTURE,non,29-12-2020
Argent,Routière,2002,Yamaha,,1300,,,63047,FJR,4500,1873083,2021-06-22 11:25:52.337506,motovente,motovente-1873083,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873083.html,FJR 1300,non,02-09-2002
NOIR MAT,Scooter,2019,Honda,,125,Oui,,2700,FORZA 125,3999,1835387,2021-06-22 11:25:52.364723,motovente,motovente-1835387,http://motovente.com/scooter-occasion/annonce-scooter-honda-1835387.html,FORZA 125,non,27-03-2019
Argent,Trail,2003,Honda,,1000,,,70400,XL 1000,2900,1873280,2021-06-22 11:25:52.393359,motovente,motovente-1873280,http://motovente.com/moto-occasion/annonce-moto-honda-1873280.html,XL 1000,non,18-06-2003
