reference,model,price,mileage,power_kW,power_CH,etat,proprietaires_prec.,dernier_controle_technique,garantie,carnet_dentretien,marque,n_dannonce,annee,couleur_exterieure,type_de_peinture,couleur_originale,carrosserie,transmission,vitesses,cylindree,cylindres,poids_a_vide,description,url
as24_f2d62a74-a35e-42cd-a83e-55a76ee81f6f,Yamaha XT 125,2200,13900.0,7.0,10.0,Occasion,,1970-01-01,1970-01-01,,Yamaha,,2005,Bleu,,,Autres,,,,0,,"Yamaha XT-125-R, 4 Temps, très bon état, 13 900 km, roule régulièrement et parfaitement, toujours bien entretenue.",https://www.autoscout24.fr/offres/yamaha-xt-125-essence-bleu-f2d62a74-a35e-42cd-a83e-55a76ee81f6f
as24_683eeae2-6a16-4181-aaff-bde8842b879e,Kawasaki Z 900,10499,1195.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,2020824.0,2020,Argent,,Argent,Routière,,,900 cm³,0,,"Elite Moto 15 vend Kawasaki Z 900 RS 2020 Moto de dmonstration en parfait tat 1195kms Immatricule le 03/03/2020 Garantie jusqu'au 03/03/2022 Rvision des 1000 kms faite pour la vente Aucun frais prvoir Dossier photo sur notre site Possibilit d'accessoiriser la moto Pour une reprise de votre moto d'occasion merci d'utiliser le formulaire de reprise sur notre site Livraison possible partout en France, 200 Financement possible: Crdit partir de 13 mois et jusqu' 72 mois Pour plus d'info: 04 71 48 09 11 contact@elitemoto15.com",https://www.autoscout24.fr/offres/kawasaki-z-900-essence-argent-683eeae2-6a16-4181-aaff-bde8842b879e
as24_2d62c571-eaef-4bf7-9b0e-77569ee3db63,Yamaha FJR 1300,17890,6164.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2048111.0,2020,Noir,,Noir,Routière,,,1.300 cm³,0,,FJR 1300 ultimate que nous avons vendue neuve. Elle est quipe de la selle confort et des silencieux Devil.,https://www.autoscout24.fr/offres/yamaha-fjr-1300-ae-essence-noir-2d62c571-eaef-4bf7-9b0e-77569ee3db63
as24_d1b9a7c0-9130-2b46-e053-0100007f8b62,Kymco X-Town,2100,11164.0,10.0,14.0,Occasion,1.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kymco,,2016,Blanc,,,,,,125 cm³,0,,Vend scooter 125 x town CBSEtat neuf2 pneus Michelin NeufTop case11164km non évolutifToujours dormi au Garage,https://www.autoscout24.fr/offres/kymco-x-town-essence-blanc-d1b9a7c0-9130-2b46-e053-0100007f8b62
as24_9543994a-de0f-4c4d-b96f-bf7bb082dbf0,Suzuki,1650,47131.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,2049273.0,2011,,,,Scooter,,,125 cm³,0,,"SUZUKI UH 125 BURGMAN ! Vhicule rvis, entretien et consommables a jour, aucun frais a prvoir. Reprise et financement possibles. Livraison possible en France mtropolitaine.",https://www.autoscout24.fr/offres/suzuki-essence-9543994a-de0f-4c4d-b96f-bf7bb082dbf0
as24_d1d38a0c-9cca-4dca-b305-6341c77bd4e0,Yamaha TMAX 530,10990,2320.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2022842.0,2019,Argent,,Argent,Scooter,,,530 cm³,0,,"Premire main. Etat neuf. Trs peu roul. Ligne Akra, Bulle sport, support de plaque, dosseret, couvercle de maitre cylindres et levier alu, protections carter alu, protections axe de roue arrire, alarme TG2005.",https://www.autoscout24.fr/offres/yamaha-tmax-530-dx-essence-argent-d1d38a0c-9cca-4dca-b305-6341c77bd4e0
as24_8635b6ce-acd9-46ad-ab72-c3ed79f2662c,Honda Forza 125,3899,12582.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,2039886.0,2019,Blanc,,Blanc,Scooter,,,125 cm³,0,,Honda Forza 125 ABS Blanc Premire main Suivi la concession Equipements : - Dosseret passager - Passage de roue ermax - Support de plaque GARANTIE 12MOIS,https://www.autoscout24.fr/offres/honda-forza-125-essence-blanc-8635b6ce-acd9-46ad-ab72-c3ed79f2662c
as24_629ab594-eb09-4de2-9e19-69339f00c980,BMW R 1200 RT,5790,91430.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,2023410.0,2007,Gris,,GRIS,Routière,,,1.200 cm³,0,,"Options : Garantie 3 mois avec possibilit d'extension 12 mois, ASC, ESC, ABS, rgulateur de vitesse, 2 valises latrales BMW, Top case BMW LA MAISON DE LA MOTO - 06250 MOUGINS - FRANCE Tel :04.93.75.18.40 - email : info@maisondelamoto.fr Website: http://www.maisondelamoto.fr",https://www.autoscout24.fr/offres/bmw-r-1200-rt-essence-gris-629ab594-eb09-4de2-9e19-69339f00c980
as24_b9bfbaca-7cfe-458b-a8b9-1381b060c264,Yamaha X-Max 300,4699,5532.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2050583.0,2019,Argent,,Argent,Scooter,,,300 cm³,0,,"XMAX 300 ABS AVEC SUPPORT TOP CASE - BULLE COURTE CLAIRE - RTROVISEURS SUR TTE DE FOURCHE TYPE TMAX - SUSPENSION ARRIRE YSS - RVISION DES 6000 FAITE POUR LA VENTE - GARANTIE 3 MOIS OU 1 AN POUR 199 EUROS SUPPLMENTAIRES - LIVRAISON POSSIBLE SUR TOUTE LA FRANCE POUR 299 EUROS - REPRISE POSSIBLE DE VOTRE ANCIENNE MOTO OU SCOOTER, FINANCEMENT POSSIBLE ET PERSONNALISABLE, ACCORD RAPIDE, VENTE D'ACCESSOIRES MOTO ET DU MOTARD - DEVIS ASSURANCE POSSIBLE AVEC AMV OU YAMAHA ASSURANCE Contact vendeur: Marco 06.65.96.15.46 - JEAN-LOUIS 06.79.49.70.06 - Amandine 06.83.57.39.12 Occasion YAM66 toutes marques et reprise possible YAMAHA HONDA SUZUKI KAWASAKI PEUGEOT FORZA X-MAX X9 X10 XEVO SATELIS SKYCRUSER BURGMAN J300",https://www.autoscout24.fr/offres/yamaha-x-max-300-abs-essence-argent-b9bfbaca-7cfe-458b-a8b9-1381b060c264
as24_c4accdb4-c436-4d01-8380-1595d2048dd3,Piaggio X 10,3490,33160.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Piaggio,2040077.0,2013,Gris,,Gris,Scooter,,,500 cm³,0,,CHEZ JMS YAM STORE 5 AVENUE DE SAINT CHAMAND 84000 AVIGNON 0465000020,https://www.autoscout24.fr/offres/piaggio-x-10-500-essence-gris-c4accdb4-c436-4d01-8380-1595d2048dd3
as24_324589be-d1e4-053b-e053-0100007f6337,Kawasaki 125 F,1600,10060.0,5.0,7.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,,2006,Bleu,,,,,,,0,,"vend kawasaki eliminator 125 de 2006 a 10060kmpneu avant neufbatterie neuf, prise de chargeur batterie sur la motovidange faite tourne tres bien, rien a prevoirmoto tres confortable , legere et nerveusevente car pas le temp de l utiliser",https://www.autoscout24.fr/offres/kawasaki-125-f-essence-bleu-324589be-d1e4-053b-e053-0100007f6337
as24_5878cb9e-cdb7-4fbd-b408-c39f084ac993,Yamaha TMAX 530,10990,4481.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2006639.0,2017,Bleu,,Bleu,Scooter,,,530 cm³,0,,"YAMAHA TMAX 530 DX 1ERE MAIN ENTRETIEN A JOUR EQUIPEMENTS : LIGNE COMPLETE AKRAPOVIC, TOP CASE YAMAHA 50L ET TABLIER BAGSTER # 25",https://www.autoscout24.fr/offres/yamaha-tmax-530-dx-essence-bleu-5878cb9e-cdb7-4fbd-b408-c39f084ac993
as24_f3658ec0-8974-0c16-e053-0100007f0ec2,Yamaha XJR 1300,6850,34300.0,72.0,98.0,Occasion,1.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,,2013,Noir,,,,Boîte manuelle,,1.251 cm³,12,,"Il est fabriqué de première main et dans un état irréprochable, avec de nombreuses conversions.Jeu de chaînes, freins et pneus en parfait état, batterie neuve, bougies neuvesUne nouvelle inspection avril 2021Yamaha XJR 1300 RP19Données techniques:-Première inscription: 06/2013-Carburant: essence-Boîte de vitesses: boîte de vitesses manuelle-Kilomètres: 34,300 km-Puissance: 72 kW (98 ch)-Cylindrée: 1251 cm3-Nombre de propriétaires de véhicules: 1-ITP: 04/2022-Couleur: noir métallique-Système de propulsion: transmission par chaîne-Catégorie: Moto sans circulation-Catalyseur",https://www.autoscout24.fr/offres/yamaha-xjr-1300-essence-noir-f3658ec0-8974-0c16-e053-0100007f0ec2
as24_1ef77b7a-05ad-43e7-8d3b-6fdd1ab40653,Kawasaki GTR 1400,6490,27500.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,2012662.0,2007,Gris,,Gris,Routière,,,1.400 cm³,0,,GTR 1400 TOP CASE VISIBLE CHEZ ACTION K HAUCONCOURT SALVA AU 03 87 80 10 01,https://www.autoscout24.fr/offres/kawasaki-gtr-1400-essence-gris-1ef77b7a-05ad-43e7-8d3b-6fdd1ab40653
as24_d5bf68bc-d527-4724-9a1f-236113ca87e7,BMW R 1200,10299,25000.0,82.0,111.0,Occasion,,1970-01-01 00:00:00,3 mois,,BMW,1869.0,2017,,,Catalano grey,Autres,Boîte manuelle,,1.170 cm³,0,,ASC Automatic Stability Control Clignotants LED blancs Livret de bord francais Poignees chauffantes (MOTO PLUS),https://www.autoscout24.fr/offres/bmw-r-1200-ninet-pure-essence-d5bf68bc-d527-4724-9a1f-236113ca87e7
as24_f076b642-cd83-4c76-9ea8-2aec5110a4d7,Suzuki GSX-S 1000,7999,9638.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,1932768.0,2016,Bleu,,BLEUE,Roadster,,,1.000 cm³,0,,"A saisir magnifique GSX 1000 S 2016, coloris bleu, tout d'origine sauf support de plaque. Rvision des 10.000 km prvoir",https://www.autoscout24.fr/offres/suzuki-gsx-s-1000-abs-essence-bleu-f076b642-cd83-4c76-9ea8-2aec5110a4d7
as24_5793c3c1-4514-403e-8bca-3c392924e400,Autres,7700,,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,,2044845.0,2021,,,,Trial,,,250 cm³,0,,"Nouveau modle 2021 avec dmarreur lectrique ! chssis aluminium bross. trier de frein avant monobloc 4 pistons Braktec. disques GALFER. guidon NEKEN. fourche TECH aluminium. amortisseur REIGER 2 voies. carburateur KEIHIN. nouvelle bote air. nouveau ventilateur SPAL. Propos en 125, 250, 280 et 300cc. Dmarreur lectrique non disponible pour le 125. Kit randonne X-TRACK disponible pour 589,00 TTC. Modle 250cc D.E. disponible de suite. Expdition dans toute la France (cot en supplment). Prix public initial = 8589,00 euros TTC. (remise de 899 applique).",https://www.autoscout24.fr/offres/others-others-trs-essence-5793c3c1-4514-403e-8bca-3c392924e400
